索引,X1：GDP（亿）,R1：GDP（亿）,X2：人口（万）,R2：人口（万）,X3：自然灾害直接经济损失（亿）,R3：自然灾害直接经济损失（亿）,X4：房屋损坏数量,R4：房屋损坏数量,RSR,RSR排名
四川2020A,0.032548725,10.79716625,0.735171563,222.2866404,0.978182072,295.4328038,0.758237012,229.2293406,0.17313824,70
四川2020B,0.057740332,18.37984006,0.759681366,229.6640912,0.939537844,283.800891,0.38254174,116.1450638,0.191617243,62
四川2020C,0.01178719,4.547944157,0.821936267,248.4028163,0.980959626,296.2688475,0.632434723,191.3628515,0.169670968,75
四川2020D,0.005908628,2.778496926,0.790563718,238.9596792,0.91647207,276.8580931,0.610183978,184.6653773,0.158902093,98
四川2019A,0.024442541,8.357204935,0.767769601,232.09865,0.952419253,287.6781953,0.874625524,264.2622828,0.174070673,69
四川2019B,0.021673746,7.523797605,0.805637247,243.4968115,0.960671406,290.1620933,0.896020471,270.7021619,0.178831063,65
四川2019C,0.030143276,10.07312609,0.778431366,235.3078411,0.971620604,293.457802,0.931108185,281.2635636,0.181462524,64
四川2019D,0.016873103,6.078803986,0.76789215,232.1355372,0.980999881,296.2809641,0.937954568,283.3243249,0.169105408,76
四川2018A,0.020896479,7.289840244,0.77046568,232.9101696,0.966910839,292.0401626,0.908001642,274.3084942,0.172267785,71
四川2018B,0.031664948,10.53114936,0.763235288,230.7338216,0.950205261,287.0117836,0.842961002,254.7312617,0.178571644,66
四川2018C,0.016319111,5.912052367,0.80036764,241.9106595,0.970533736,293.1306544,0.938810366,283.5819201,0.174316098,68
四川2018D,0.01795848,6.405502465,0.746323523,225.6433805,0.978182072,295.4328038,0.947368344,286.1578717,0.166344813,80
四川2017A,0.018915206,6.693476968,0.760906856,230.0329638,0.981201153,296.341547,0.879760312,265.8078538,0.168610424,77
四川2017B,0.028987281,9.725171513,0.798039208,241.2098017,0.986514734,297.940935,0.925117599,279.4603974,0.183917821,63
四川2017C,0.016309089,5.909035826,0.765931366,231.5453412,0.981684206,296.4869459,0.936242972,282.8091346,0.168285244,78
四川2017D,0.018850181,6.673904523,0.737867641,223.09816,0.991546535,299.455507,0.930252387,281.0059684,0.165358403,86
四川2016A,0.009338158,3.810785551,0.752450974,227.4877432,0.98784313,298.340782,0.834403024,252.1553101,0.158753353,100
四川2016B,0.020094741,7.048516909,0.802573522,242.5746301,0.993720273,300.1098021,0.780487757,235.9268148,0.175323774,67
四川2016C,0.023204042,7.984416505,0.739338229,223.5408071,0.991747807,299.5160898,0.750534831,226.9109841,0.166288841,81
四川2016D,0.019315609,6.813998331,0.743995092,224.9425227,0.998389784,301.5153249,0.929396589,280.7483733,0.166812646,79
四川2015A,0.016308856,5.908965674,0.746936268,225.8278168,0.985830409,297.7349532,0.912280631,275.59647,0.164602045,87
四川2015B,0.011794648,4.550189025,0.737254896,222.9137237,0.992633404,299.7826545,0.925973397,279.7179926,0.159523337,97
四川2015C,0.018585887,6.594352005,0.785661758,237.4841891,0.982811329,296.82621,0.753102225,227.6837696,0.170689473,73
四川2015D,0.018745536,6.642406216,0.749754896,226.6762236,0.9884872,298.5346472,0.854942173,258.337594,0.16615931,83
四川2014A,0.016260146,5.894303878,0.717892152,217.0855376,0.978504108,295.5297364,0.940521961,284.0971104,0.159904819,93
四川2014B,0.010253632,4.086343127,0.743259798,224.7211992,0.994766887,300.424833,0.951647334,287.4458475,0.159746259,95
四川2014C,0.017910469,6.391051126,0.767524503,232.0248755,0.971741368,293.4941517,0.964484302,291.309775,0.170259682,74
四川2014D,0.017629627,6.306517807,0.739093131,223.4670325,0.975203247,294.5361772,0.853230577,257.8224037,0.163328335,89
四川2013A,0.014649443,5.409482492,0.775735287,234.4963215,0.95668622,288.9625523,0.757381214,228.9717454,0.165773766,84
四川2013B,0.016984041,6.112196401,0.724142151,218.9667876,0.810723749,245.0278485,0.42704323,129.5400123,0.15295244,107
四川2013C,0.014873418,5.476898691,0.763848033,230.9182579,0.885596942,267.5646795,0.878904514,265.5502586,0.165546475,85
四川2013D,0.010015674,4.0147178,0.737867641,223.09816,0.865791775,261.6033242,0.954214728,288.218633,0.158221529,102
四川2012A,0.011628707,4.500240707,0.753186268,227.7090668,0.959987082,289.9561115,0.722293501,218.4103437,0.158866796,99
四川2012B,0.018772338,6.650473711,0.738602935,223.3194835,0.943080232,284.8671497,0.635002116,192.135637,0.160625019,91
四川2012C,0.013135463,4.953774241,0.720098034,217.7495082,0.966508295,291.9189968,0.879760312,265.8078538,0.156787375,103
四川2012D,0.006936671,3.087937981,0.766053915,231.5822284,0.971338824,293.3729859,0.909713238,274.8236845,0.160330936,92
四川2011A,0.009887023,3.975993823,0.754044111,227.9672775,0.955599351,288.6354048,0.914848025,276.3692555,0.160628137,90
四川2011B,0.017539898,6.279509236,0.770098033,232.7995078,0.970010428,292.9731389,0.697475362,210.940084,0.166212525,82
四川2011C,0.009683791,3.914821163,0.717524504,216.9748758,0.977940546,295.3601044,0.821566055,248.2913827,0.152690619,108
四川2011D,0.006670046,3.007683942,0.757843131,229.1107824,0.954270956,288.2355578,0.913136429,275.8540652,0.158678235,101
四川2010A,0.006421367,2.932831617,0.73799019,223.1350473,0.941550564,284.4067198,0.765939193,231.547697,0.152653628,110
四川2010B,0.014022736,5.220843409,0.752573523,227.5246305,0.974559176,294.342312,0.929396589,280.7483733,0.163983255,88
四川2010D,0.02162993,7.510609004,0.760906856,230.0329638,0.970131192,293.0094886,0.962772706,290.7945846,0.172056675,72
四川2010C,0.008549937,3.57353104,0.718872544,217.3806356,0.913332227,275.9130002,0.659820255,199.6058968,0.149259429,112
四川2009A,0.016385534,5.932045725,0.53112745,160.8693625,0.978182072,295.4328038,0.758237012,229.2293406,0.124493166,120
四川2009B,0.017080063,6.141099079,0.547549018,165.8122546,0.988648218,298.5831135,0.822421853,248.5489778,0.128964516,118
四川2009C,0.017000822,6.117247354,0.727818622,220.0734052,0.972143912,293.6153174,0.782199353,236.4420051,0.159726747,96
四川2009D,0.017273506,6.199325349,0.698284309,211.183577,0.966508295,291.9189968,0.795892119,240.5635278,0.154979006,104
四川2008A,0.016604614,5.997988729,0.677450976,204.9127438,0.980597337,296.1597984,0.795036321,240.3059326,0.150833826,111
四川2008B,0.015483578,5.660556973,0.703431368,212.7328416,0.978584616,295.5539696,0.774497172,234.1236487,0.154146113,105
四川2008C,0.016989169,6.113739747,0.638112742,193.0719353,0.979389705,295.7963011,0.676080415,204.5002049,0.142393463,114
四川2008D,0.015311111,5.608644396,0.539950979,163.5252448,0.979792249,295.9174668,0.740265256,223.8198421,0.124896139,119
四川2007A,0.016059245,5.83383274,0.692892152,209.5605378,0.988245674,298.4619478,0.796747917,240.8211229,0.153147716,106
四川2007B,0.015791222,5.753157788,0.591911762,179.1654405,0.978182072,295.4328038,0.778776161,235.4116245,0.134964294,117
四川2007C,0.016336591,5.917313777,0.621078428,187.9446069,0.960872678,290.2226762,0.689773181,208.6217275,0.139044924,115
四川2007D,0.017154644,6.163547761,0.683700976,206.7939937,0.963287943,290.9496708,0.818998662,247.5185972,0.152686425,109
四川2006A,0.015217886,5.580583543,0.526470588,159.4676469,0.980194793,296.0386326,0.718870309,217.3799631,0.122130107,121
四川2006B,0.01699383,6.11514279,0.662990192,200.5600478,0.964898119,291.4343338,0.697475362,210.940084,0.147033579,113
四川2006C,0.016192091,5.873819455,0.613725487,185.7313717,0.973754088,294.0999805,0.72657249,219.6983195,0.138264624,116
